violation_id,date,time,city,road_name,violation_type,vehicle_type,fine_amount,repeat_offender,weather,accident_occurred,accident_id,severity,vehicles_involved,weather_acc,fatalities,temperature_c,weather_weather,rainfall_mm
V0001,01-01-2024,04:47,Chennai,OMR Road,Wrong Side,Bus,1000,Yes,weather,Yes,A0001,High,4,Rain,2,23,Fog,0
V0002,02-01-2024,13:04,Chennai,Anna Salai,Drunk Driving,Car,10000,No,weather,No,,,,,,26,Clear,0
V0003,03-01-2024,05:22,Bengaluru,Whitefield Road,No Seatbelt,Bike,1000,Yes,weather,Yes,,,,,,24,Rain,0
V0004,04-01-2024,23:38,Bengaluru,Outer Ring Road,Speeding,Truck,2000,No,weather,No,,,,,,29,Fog,0
V0005,05-01-2024,12:08,Delhi,Outer Ring Road,No Helmet,Bus,500,Yes,weather,No,,,,,,23,Fog,19
V0006,06-01-2024,23:16,Bengaluru,Outer Ring Road,Drunk Driving,Truck,10000,Yes,weather,Yes,,,,,,14,Rain,0
V0007,07-01-2024,06:21,Mumbai,Link Road,No Seatbelt,Auto,1000,No,weather,No,,,,,,33,Clear,0
V0008,08-01-2024,03:05,Bengaluru,Whitefield Road,Wrong Side,Bus,1000,No,weather,No,,,,,,27,Rain,0
V0009,09-01-2024,12:15,Chennai,Mount Road,No Helmet,Car,500,Yes,weather,No,,,,,,26,Clear,0
V0010,10-01-2024,22:13,Mumbai,Western Express Highway,Signal Jump,Auto,1500,No,weather,Yes,,,,,,18,Clear,0
V0011,11-01-2024,19:33,Delhi,Ring Road,Wrong Side,Car,1000,No,weather,Yes,,,,,,37,Rain,0
V0012,12-01-2024,18:42,Chennai,Anna Salai,Speeding,Auto,2000,Yes,weather,No,,,,,,15,Fog,0
V0013,13-01-2024,23:00,Mumbai,SV Road,Signal Jump,Auto,1500,No,weather,Yes,,,,,,36,Clear,32
V0014,14-01-2024,03:56,Delhi,Ring Road,Wrong Side,Bike,1000,No,weather,No,,,,,,38,Rain,0
V0015,15-01-2024,21:24,Mumbai,SV Road,Wrong Side,Bike,1000,Yes,weather,No,,,,,,17,Fog,0
V0016,16-01-2024,18:07,Chennai,Anna Salai,Signal Jump,Car,1500,No,weather,Yes,,,,,,24,Fog,0
V0017,17-01-2024,04:12,Hyderabad,Mehdipatnam Road,No Seatbelt,Car,1000,No,weather,Yes,,,,,,25,Fog,0
V0018,18-01-2024,06:44,Delhi,Ring Road,No Seatbelt,Bus,1000,No,weather,No,,,,,,29,Rain,34
V0019,19-01-2024,17:12,Delhi,Outer Ring Road,No Helmet,Auto,500,No,weather,Yes,,,,,,16,Clear,0
V0020,20-01-2024,23:16,Chennai,OMR Road,Signal Jump,Truck,1500,No,weather,No,,,,,,29,Clear,0
V0021,21-01-2024,00:01,Bengaluru,Whitefield Road,Signal Jump,Auto,1500,No,weather,No,A0021,High,4,Rain,3,15,Clear,0
V0022,22-01-2024,23:29,Delhi,MG Road,Drunk Driving,Bus,10000,Yes,weather,No,,,,,,22,Rain,4
V0023,23-01-2024,23:46,Mumbai,Link Road,No Helmet,Truck,500,No,weather,Yes,,,,,,29,Rain,0
V0024,24-01-2024,02:07,Delhi,Outer Ring Road,No Seatbelt,Bus,1000,Yes,weather,No,,,,,,31,Rain,0
V0025,25-01-2024,20:56,Mumbai,SV Road,No Helmet,Bike,500,Yes,weather,Yes,,,,,,37,Rain,15
V0026,26-01-2024,06:25,Delhi,Ring Road,No Helmet,Auto,500,Yes,weather,No,,,,,,22,Rain,0
V0027,27-01-2024,20:14,Chennai,Mount Road,Speeding,Auto,2000,Yes,weather,No,,,,,,24,Rain,0
V0028,28-01-2024,22:55,Bengaluru,Silk Board Junction,Speeding,Bike,2000,No,weather,No,,,,,,24,Rain,0
V0029,29-01-2024,20:31,Bengaluru,Silk Board Junction,Signal Jump,Bike,1500,No,weather,No,,,,,,35,Fog,0
V0030,30-01-2024,07:07,Bengaluru,Silk Board Junction,Wrong Side,Car,1000,Yes,weather,Yes,A0030,High,3,Fog,1,34,Rain,0
V0031,31-01-2024,12:34,Chennai,Anna Salai,Drunk Driving,Truck,10000,Yes,weather,Yes,,,,,,19,Rain,10
V0032,01-02-2024,22:50,Bengaluru,Silk Board Junction,No Helmet,Car,500,Yes,weather,No,A0032,Low,1,Rain,1,10,Fog,0
V0033,02-02-2024,11:07,Hyderabad,Mehdipatnam Road,Wrong Side,Bus,1000,No,weather,Yes,,,,,,14,Clear,0
V0034,03-02-2024,23:56,Hyderabad,Mehdipatnam Road,Drunk Driving,Truck,10000,No,weather,Yes,,,,,,36,Rain,0
V0035,04-02-2024,14:23,Hyderabad,ORR Hyderabad,Speeding,Bike,2000,No,weather,Yes,,,,,,16,Clear,13
V0036,05-02-2024,16:13,Chennai,Anna Salai,No Helmet,Bike,500,No,weather,Yes,,,,,,16,Fog,6
V0037,06-02-2024,14:18,Hyderabad,Mehdipatnam Road,No Seatbelt,Bike,1000,Yes,weather,No,,,,,,33,Rain,0
V0038,07-02-2024,03:13,Bengaluru,Outer Ring Road,No Helmet,Auto,500,Yes,weather,Yes,,,,,,35,Rain,0
V0039,08-02-2024,11:35,Mumbai,Western Express Highway,Speeding,Auto,2000,Yes,weather,No,,,,,,16,Fog,0
V0040,09-02-2024,03:35,Mumbai,Western Express Highway,No Seatbelt,Auto,1000,No,weather,Yes,,,,,,27,Fog,23
V0041,10-02-2024,17:16,Delhi,Ring Road,Signal Jump,Auto,1500,No,weather,Yes,,,,,,20,Clear,0
V0042,11-02-2024,12:13,Mumbai,SV Road,Drunk Driving,Bus,10000,No,weather,Yes,,,,,,10,Fog,0
V0043,12-02-2024,07:05,Chennai,Mount Road,No Seatbelt,Bike,1000,No,weather,Yes,,,,,,18,Fog,0
V0044,13-02-2024,15:14,Bengaluru,Outer Ring Road,Speeding,Truck,2000,Yes,weather,No,,,,,,33,Rain,0
V0045,14-02-2024,17:25,Bengaluru,Whitefield Road,Drunk Driving,Truck,10000,No,weather,Yes,,,,,,17,Rain,0
V0046,15-02-2024,22:38,Chennai,Anna Salai,Signal Jump,Bus,1500,Yes,weather,Yes,,,,,,19,Rain,0
V0047,16-02-2024,02:16,Bengaluru,Outer Ring Road,Speeding,Car,2000,No,weather,No,,,,,,30,Clear,0
V0048,17-02-2024,05:39,Chennai,Anna Salai,Wrong Side,Auto,1000,No,weather,No,,,,,,10,Clear,0
V0049,18-02-2024,17:11,Bengaluru,Silk Board Junction,Wrong Side,Truck,1000,No,weather,No,,,,,,19,Fog,0
V0050,19-02-2024,01:31,Bengaluru,Outer Ring Road,Signal Jump,Car,1500,Yes,weather,No,,,,,,27,Clear,0
V0051,20-02-2024,05:48,Mumbai,SV Road,No Seatbelt,Truck,1000,Yes,weather,Yes,,,,,,21,Clear,33
V0052,21-02-2024,21:48,Delhi,Ring Road,Drunk Driving,Bus,10000,No,weather,Yes,,,,,,16,Clear,0
V0053,22-02-2024,07:23,Bengaluru,Silk Board Junction,Wrong Side,Auto,1000,Yes,weather,No,,,,,,32,Clear,0
V0054,23-02-2024,19:23,Hyderabad,ORR Hyderabad,No Seatbelt,Auto,1000,Yes,weather,Yes,A0054,High,1,Clear,3,26,Rain,14
V0055,24-02-2024,16:23,Mumbai,SV Road,Speeding,Truck,2000,Yes,weather,Yes,,,,,,23,Fog,0
V0056,25-02-2024,17:24,Chennai,Mount Road,Wrong Side,Bus,1000,No,weather,Yes,,,,,,32,Fog,7
V0057,26-02-2024,01:07,Bengaluru,Silk Board Junction,No Seatbelt,Bus,1000,No,weather,No,,,,,,16,Rain,0
V0058,27-02-2024,16:10,Chennai,OMR Road,Drunk Driving,Car,10000,Yes,weather,Yes,,,,,,38,Rain,0
V0059,28-02-2024,06:09,Delhi,GT Road,Signal Jump,Auto,1500,No,weather,No,,,,,,30,Fog,0
V0060,29-02-2024,02:29,Delhi,Ring Road,No Helmet,Bus,500,Yes,weather,Yes,,,,,,16,Rain,0
V0061,01-03-2024,01:20,Bengaluru,Silk Board Junction,No Seatbelt,Bus,1000,No,weather,Yes,,,,,,23,Clear,0
V0062,02-03-2024,16:03,Delhi,Outer Ring Road,Speeding,Auto,2000,No,weather,No,,,,,,30,Clear,50
V0063,03-03-2024,14:22,Chennai,Anna Salai,Speeding,Car,2000,No,weather,Yes,,,,,,34,Clear,0
V0064,04-03-2024,17:51,Chennai,OMR Road,No Seatbelt,Truck,1000,No,weather,No,,,,,,36,Fog,28
V0065,05-03-2024,12:06,Delhi,Ring Road,No Seatbelt,Car,1000,Yes,weather,Yes,,,,,,35,Rain,0
V0066,06-03-2024,09:13,Chennai,Mount Road,Wrong Side,Auto,1000,No,weather,No,,,,,,32,Fog,1
V0067,07-03-2024,21:37,Chennai,Mount Road,No Helmet,Auto,500,No,weather,No,,,,,,10,Clear,0
V0068,08-03-2024,14:13,Chennai,OMR Road,No Seatbelt,Car,1000,Yes,weather,Yes,,,,,,34,Rain,0
V0069,09-03-2024,18:16,Bengaluru,Whitefield Road,Wrong Side,Auto,1000,Yes,weather,Yes,,,,,,34,Clear,0
V0070,10-03-2024,21:08,Mumbai,Link Road,Signal Jump,Bus,1500,Yes,weather,No,,,,,,16,Clear,0
V0071,11-03-2024,11:47,Chennai,OMR Road,Wrong Side,Car,1000,No,weather,No,,,,,,21,Fog,44
